ID,name,address_street,address_city,address_state,address_postalcode,address_country,email,phone
ec632ffd-4c54-4d8f-a8b0-e213f2e30a74,Meridian Logistics,Paseo de Gracia 56,Vienna,09,10100,AUT,info@meridian37.com,+34 978 595 383
94a0faf4-0d0d-45f1-a872-5d5e856f9fa9,Zenith Solutions,Calle Serrano 26,Vienna,09,10100,AUT,info@zenith38.com,+34 699 403 332
bd23bafc-2543-4c8b-bcd7-d17be37650db,Nordic Group,Calle Mayor 182,Munich,BY,80331,DEU,info@nordic39.com,+34 873 229 380
a525f852-b19a-4201-85d2-a84d8cbb7456,Ibérica Solutions,Calle Serrano 179,Madrid,MD,28001,ESP,info@ibérica40.com,+34 664 753 989
de724878-ed1c-49bd-94fc-6baf41328104,Global Supplies,Calle Serrano 121,Paris,75,75001,FRA,info@global41.com,+34 845 551 448
c9c1b585-5439-48d5-9356-a5191c998ab9,Ibérica Group,Calle Alcalá 30,Valencia,VC,46001,ESP,info@ibérica42.com,+34 633 510 603
68774903-a953-4162-9a4b-49db33a70333,Zenith Supplies,Gran Vía 39,Barcelona,CT,08001,ESP,info@zenith43.com,+34 888 411 187
4b6cee6b-e6e4-4a81-aef0-41dc96045270,Global Solutions,Ronda Sant Pere 156,Sevilla,AN,41001,ESP,info@global44.com,+34 905 909 733
0078d38d-6605-4c1e-acd2-2888baa0d177,Horizon Solutions,Ronda Sant Pere 116,Sevilla,AN,41001,ESP,info@horizon45.com,+34 826 404 980
1817684a-3960-497c-bd0d-803547752a8e,Atlas Group,Calle Mayor 157,Lisbon,LI,11000,PRT,info@atlas46.com,+34 978 201 881
9b32980f-e9d0-43cf-a85e-81ce6c05e069,Orion Distribution,Calle Serrano 170,Sevilla,AN,41001,ESP,info@orion47.com,+34 641 260 345
0e60098c-9f66-43a3-a93e-5d639870ef88,Meridian Trading,Gran Vía 1,Valencia,VC,46001,ESP,info@meridian48.com,+34 809 561 805
b83a5727-a761-473a-8cf5-b51658683393,Pioneer Group,Calle Mayor 60,Lisbon,LI,11000,PRT,info@pioneer49.com,+34 747 823 389
51850306-2d3e-44fa-ba34-4e9892efb167,Apex Systems,Av. Diagonal 176,Vienna,09,10100,AUT,info@apex50.com,+34 719 370 906
